system,qid,doc_precision@k,doc_recall@k,doc_ndcg@k,doc_mrr,sent_precision@k,sent_recall@k,sent_ndcg@k,sent_mrr,evidence_precision,evidence_recall,evidence_f1,full_rationale_recovered,verdict_correct,fever_score,json_valid
Agentic,1000,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,0.6666666666666666,1.0,0.7777777777777777,1.0,1.0,1.0,1.0
Agentic,1004,0.6,1.0,1.0,1.0,0.8000000000000002,0.5,0.8687949224876582,1.0,1.0,0.375,0.5454545454545454,1.0,1.0,1.0,1.0
Agentic,1005,0.6,1.0,1.0,1.0,0.6,0.375,0.722726572644952,1.0,1.0,0.3333333333333333,0.4969696969696969,1.0,1.0,1.0,1.0
Agentic,1023,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,0.6309297535714575,0.5,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
Agentic,1040,0.20000000000000004,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Agentic,1045,0.20000000000000004,1.0,1.0,1.0,0.6,0.75,0.8318724637288826,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0
Agentic,1050,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,0.5,0.38685280723454163,0.5,0.8333333333333334,0.5,0.611111111111111,0.0,1.0,0.0,1.0
Agentic,108,0.6,1.0,1.0,1.0,0.6,0.3333333333333333,0.6992148198508502,1.0,1.0,0.2962962962962963,0.45454545454545453,1.0,1.0,1.0,1.0
Agentic,1084,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,0.38685280723454163,0.20000000000000004,0.6666666666666666,1.0,0.7777777777777777,1.0,1.0,1.0,1.0
Agentic,109,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0
Agentic,1090,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,0.38685280723454163,0.20000000000000004,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0
Agentic,1105,0.20000000000000004,1.0,1.0,1.0,0.4000000000000001,0.6666666666666666,0.6713860725233042,1.0,0.8888888888888888,0.6666666666666666,0.7555555555555555,1.0,1.0,1.0,1.0
Agentic,1141,0.20000000000000004,1.0,1.0,1.0,0.6,1.0,0.6797310500037655,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1142,0.20000000000000004,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Agentic,1145,0.20000000000000004,1.0,1.0,1.0,0.4000000000000001,0.6666666666666666,0.6713860725233042,1.0,0.5,0.6666666666666666,0.5714285714285715,1.0,0.0,0.0,1.0
Agentic,1153,0.20000000000000004,1.0,1.0,1.0,0.4000000000000001,1.0,0.9197207891481876,1.0,0.5,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0,1.0
Agentic,1158,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,116,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Agentic,1171,0.20000000000000004,1.0,1.0,1.0,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1210,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0
Agentic,122,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,1.0,1.0,1.0,1.0
Agentic,1227,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1234,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
Agentic,1238,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1258,0.20000000000000004,1.0,0.6309297535714575,0.5,0.20000000000000004,1.0,0.6309297535714575,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Agentic,1265,0.20000000000000004,1.0,1.0,1.0,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1276,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,0.6309297535714575,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1311,0.20000000000000004,1.0,0.6309297535714575,0.5,0.20000000000000004,0.20000000000000004,0.21398626473452756,0.5,0.5,0.20000000000000004,0.28571428571428575,1.0,1.0,1.0,1.0
Agentic,1312,0.20000000000000004,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Agentic,1324,0.20000000000000004,1.0,1.0,1.0,0.4000000000000001,1.0,0.9197207891481876,1.0,0.6666666666666666,0.5,0.5555555555555555,1.0,1.0,1.0,1.0
